>HAVE_INCLUDES +proj4=latlong
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_EU_LO.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_LO_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3a_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3a_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4a_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4a_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3a_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3a_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4a_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4a_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c5c_AF_NA.dat
-38.49983 34.78656
-38.52132 34.72268
-38.57341 34.60884
-38.54150 34.43271
-38.55713 34.33226
-38.61443 34.22177
-39.00851 34.14776
-39.20584 33.90964
-39.25662 33.77880
-39.48913 33.81643
-39.67579 33.85155
-39.85263 33.87162
-40.18722 33.91723
-40.18394 33.77299
-40.18558 33.69648
-40.21426 33.55934
-40.41741 33.38858
-40.58410 33.29817
-40.86018 32.91981
-41.09980 32.73110
-41.14509 32.66949
-41.22041 32.53402
-41.33012 32.43995
-41.63466 32.13261
-41.73009 32.00666
-41.85779 31.94017
-41.92049 31.88482
-41.99504 31.81870
-42.04212 31.68044
-42.04785 31.58812
-42.11606 31.50477
-42.19122 31.39791
-42.30108 31.31788
-42.38295 31.26269
-42.55979 31.18514
-42.72502 31.12234
-42.82504 31.06431
-42.85779 31.00029
-42.85288 30.90371
-42.84796 30.85359
-42.87580 30.77959
-43.12632 30.77018
-43.16070 30.67234
-43.19509 30.57325
-43.21801 30.52308
-43.24935 30.44148
-43.24543 30.36033
-43.26550 30.25704
-43.47836 30.28212
-43.77145 30.32678
-43.62899 30.30420
-43.91881 30.34936
-43.93846 30.27285
-43.97845 30.17394
-44.00592 30.02667
-44.00232 29.89325
-44.04326 29.79667
-44.15894 29.67501
-44.30629 29.65276
-44.36746 29.59244
-44.37396 29.45896
-44.39666 29.35060
-44.41985 29.26632
-44.45588 29.19483
-44.59997 29.10724
-44.60488 28.99310
-44.65368 28.89353
-45.03915 28.75960
-45.15353 28.64549
-45.17607 28.54659
-45.20584 28.37977
-45.24751 28.22575
-45.42262 28.00617
-45.42521 27.96263
-45.43503 27.91246
-45.42087 27.85500
-45.44813 27.76947
-45.45061 27.68774
-45.47325 27.60827
-45.56945 27.51146
-45.58265 27.47389
-45.73467 27.16014
-45.73701 27.06743
-45.75039 27.00140
-45.78706 26.80456
-45.80344 26.73683
-45.81981 26.67411
-45.83946 26.62143
-45.90168 26.57377
-45.92133 26.52360
-45.93443 26.45336
-46.01548 26.27245
-46.22067 26.11710
-46.31416 25.91626
-46.32170 25.82378
-46.31227 25.68078
-46.29866 25.62101
-46.73791 25.49113
-46.76622 25.41680
-46.77604 25.36412
-46.80552 25.30468
-46.83827 25.22817
-46.85627 25.17346
-46.86937 25.12204
-46.89721 25.06260
-46.96511 24.96116
-47.06440 24.88364
-47.32255 24.76897
-47.36714 24.71921
-47.42152 24.67521
-47.51927 24.58481
-47.58178 24.48101
-47.58821 24.39730
-47.59342 24.27676
-47.60261 24.18515
-47.62866 24.09595
-47.65695 24.01373
-47.47684 23.98613
-47.25088 23.94600
-46.99545 23.91840
-46.73674 23.88328
-46.52388 23.86321
-46.38962 23.84565
-46.40407 23.76186
-46.42293 23.68673
-46.43048 23.60003
-46.43425 23.52778
-46.43425 23.45843
-46.44934 23.37462
-46.46975 23.31104
-46.48707 23.26192
-46.50213 23.21279
-46.48862 23.14054
-46.49616 23.08563
-46.50213 23.03940
-46.49768 22.97023
-46.50810 22.83965
-46.50289 22.76264
-46.48727 22.69232
-46.48623 22.60930
-46.48131 22.48436
-46.50751 22.33384
-46.51406 22.26360
-46.51406 22.17831
-46.53371 22.07294
-46.92013 21.62139
-46.99077 21.39795
-48.02915 18.14812
-48.01873 17.96731
-47.88946 17.72050
-47.88291 17.64524
-47.68535 17.50163
-47.69298 17.42908
-47.70772 17.36134
-47.71139 17.28158
-47.66451 17.16439
-47.67988 17.04187
-47.69056 16.93335
-47.75520 16.80881
-47.78140 16.72603
-47.82078 16.63201
-47.84162 16.53491
-47.88329 16.42321
-47.89371 16.29262
-47.90584 16.14152
-47.88946 16.01107
-47.93531 15.89568
-47.93538 15.59952
-47.94059 15.76024
> 5 GREENLAND/JAN MAYEN STG 137.5313 64.7378 21.0 10.3 -1.1383 C5-C6 FIN"139.0 60.3 2.32 10.3"
-17.326944  71.104768
-17.447698  71.046592
-17.551570  70.933410
-17.620453  70.815504
-17.692210  70.732510
-17.775550  70.595230
-17.843270  70.481380
-17.993815  70.253136
-18.070787  70.173952
-18.325655  69.960640
-18.407768  69.870144
-18.514031  69.802272
-18.610634  69.727936
-18.723600  69.648590
-18.811805  69.567952
-18.903578  69.493616
-18.853830  69.534750
-19.004890  69.420910
-19.140330  69.333850
-19.314141  69.163951
-19.459045  69.105775
-19.545988  69.044367
-19.642591  68.953871
-19.777835  68.869839
-19.937230  68.811663
-20.014512  68.747023
-20.106285  68.666223
-20.188398  68.582191
-20.260850  68.446447
-20.313982  68.385039
-20.410585  68.301007
-20.483037  68.236367
-20.584470  68.181423
-20.763186  67.974575
-20.791600  67.760010
-20.869449  67.593199
-20.906200  67.482900
-20.994750  67.325530
-21.010380  67.044270
-21.015590  66.826630
-21.005170  66.726180
-20.927030  66.655870
-20.916620  66.568810
-20.947870  66.441580
-20.989540  66.307640
-20.927030  66.187100
-20.828060  66.096700
-20.718670  66.016340
> 5 NORTH AMERICA/EURASIA STG 137.5313 64.7378 21.0 10.3 -1.1383 C5-C6
-24.209660  64.980520
-24.281700  64.870140
-24.321000  64.764780
-24.510940  64.759760
-24.543680  64.629320
-24.615730  64.493850
-24.655030  64.403540
-25.126590  64.273090
-25.257580  64.242990
-25.506460  64.052330
-25.648782  63.966894
-25.925630  63.786420
-26.044854  63.730958
-26.209079  63.627533
-26.474737  63.472397
-26.612790  63.373540
-26.783867  63.249389
-26.971750  63.166020
-27.293450  62.953300
-27.445120  62.828130
-27.563020  62.747860
-27.706340  62.668750
-27.838090  62.592320
-27.959033  62.527037
-28.054230  62.463310
-28.244012  62.349277
-28.413067  62.242621
-28.565090  62.157260
-28.712080  62.066920
-28.847781  61.977597
-28.963704  61.877405
-29.118269  61.796605
-29.176231  61.752973
-29.296440  61.670620
-29.462370  61.559070
-29.632660  61.424750
-29.796400  61.304330
-29.973240  61.188940
-30.150080  61.053470
-30.270070  60.983590
-30.352527  60.930429
-30.463621  60.830237
-30.595450  60.742400
-30.765730  60.632020
-30.883620  60.556770
-30.975617  60.484412
-31.125960  60.371130
-31.271696  60.279180
-31.368299  60.191916
-31.455241  60.117580
-31.589046  60.023852
-31.755276  59.907500
-31.851314  59.841244
-31.972067  59.741052
-32.073501  59.669948
-32.184594  59.582684
-32.290857  59.514812
-32.368140  59.456636
-32.474403  59.388764
-32.614477  59.233628
-32.817344  59.078492
-32.929240  58.979390
-33.058851  58.884572
-33.186540  58.778400
-33.435603  58.653484
-33.519155  58.601772
-33.590168  58.533900
-33.730242  58.433708
-33.841335  58.372300
-34.119040  58.289820
-34.171225  58.243020
-34.206167  58.188076
-34.215827  58.110508
-34.415650  57.997480
-34.532010  57.911050
-34.660766  57.826091
-35.019072  57.654795
-35.062220  57.532520
-35.167010  57.427160
-35.279900  57.321899
-35.395823  57.237867
-35.620270  57.157067
-35.660607  57.085963
-35.695293  57.011627
-35.704953  56.921131
-36.516418  56.714283
-36.549510  56.595320
-36.583370  56.488970
-36.589930  56.391030
-36.612310  56.302960
-36.620111  56.197163
-36.653750  56.104530
-36.673243  56.025867
-36.721545  55.903051
-37.009840  55.734720
-37.053280  55.658000
-37.105670  55.527550
-37.210460  55.367000
-37.268791  55.276043
-37.267000  55.149620
-37.243210  55.045900
-37.243210  54.930500
-37.225320  54.784778
-37.191509  54.623178
-37.123887  54.455114
-37.041140  54.336760
-37.062590  54.234430
-37.091170  54.099220
-37.112620  53.971320
-37.126910  53.861690
-37.177018  53.672970
-37.167358  53.585706
-37.216720  53.482710
-37.281842  53.395018
-37.330143  53.272202
-37.246480  52.916990
-37.233000  52.799000
-36.899000  52.775000
-36.501000  52.750000
-36.060660  52.721370
-35.620440  52.713590
-35.176830  52.698020
-34.855130  52.690240
-34.518290  52.679810
-34.125480  52.674620
-33.654780  52.643490
-33.338435  52.622570
-33.350100  52.561162
-33.335609  52.454506
-33.314284  52.289674
-31.975750  52.218960
-31.978028  52.115145
-31.987688  51.960009
-31.987688  51.863049
-31.957577  51.746697
-31.889955  51.568937
-31.735390  51.362089
-31.629127  51.213417
-31.532524  51.077673
-31.443011  50.943545
-31.232240  50.781530
-30.964826  50.565401
-30.708828  50.303609
-30.537513  50.143625
-30.247704  49.982025
-30.178077  49.928697
-30.094920  49.795990
-30.054120  49.658450
-30.006196  49.542473
-29.812990  49.400264
-29.639360  49.212808
-29.646610  49.064720
-29.597100  48.964510
-29.187300  48.200280
-29.156910  48.057368
-29.055477  47.877992
-28.929320  47.713040
-28.886020  47.574350
-28.925320  47.489050
-28.920233  47.396424
-28.916843  47.250984
-28.926503  47.134632
-28.949214  46.940712
-28.958874  46.863144
-28.963704  46.811432
-29.069968  46.559335
-29.094118  46.494695
-29.225972  46.022823
-29.248683  45.877383
-29.252790  45.783010
-29.304385  45.646295
-29.416530  45.582510
-29.475480  45.527320
-29.514770  45.442020
-29.540970  45.352990
-29.584534  45.206743
-29.645760  45.112160
-29.768079  44.899703
-29.806720  44.802743
-30.050650  44.414120
-30.086869  44.275927
-30.094670  44.167690
-30.097680  44.068580
-30.189370  43.903010
-30.202470  43.847590
-30.330190  43.664460
-30.444810  43.586920
-30.484100  43.541770
-30.598720  43.423630
-30.674040  43.341080
-30.739530  43.071010
-30.759420  43.013970
-30.743204  42.848998
-30.704563  42.739110
-30.651432  42.642150
-30.628190  42.589360
-30.615090  42.473960
-30.647840  42.403720
-30.679780  42.290790
-30.669960  42.137740
-30.660910  42.089720
-30.660910  42.037840
-30.671060  41.984660
-30.679530  41.928890
-30.732980  41.778610
-30.813290  41.708390
-30.857430  41.510650
-30.850880  41.405290
