17.68      8.50   TODRA_VOLC_FIELD              Niger		   Cinder_cones	       Holocene
19.83      2.83   TIN_ZAOUATENE_VOLC_FIELD      Mali               Volcanic_field      Holocene
22.67      5.00   TAHALRA_VOLC_FIELD            Algeria            Pyroclastic_cones   Holocene
23.33      5.83   ATAKOR_VOLC_FIELD             Algeria            Scoria_cones        Holocene
23.92      5.83   MANZAZ_VOLC_FIELD             Algeria            Scoria_cones        Holocene
25.05     17.55   WAU-EN-NAMUS                  Libya              Caldera             Holocene?
27.25     17.50   HARUJ                         Libya              Volcanic_field      Holocene
21.33     16.33   TARSO_TÔH                     Chad               Volcanic_field      Holocene
21.03     16.45   TARSO_TOUSSIDÉ                Chad               Stratovolcano       Holocene
20.92     17.28   TARSO_VOON                    Chad               Stratovolcano       Fumarolic
19.80     18.53   EMI_KOUSSI                    Chad               Pyroclastic_shield  Holocene
12.95     24.27   JEBEL_MARRA                   Sudan              Volcanic_field      Radiocarbon
14.57     25.85   KUTUM_VOLC_FIELD              Sudan              Scoria_cones        Holocene?
15.13     26.17   MEIDOB_VOLC_FIELD             Sudan              Scoria_cones        Holocene
18.33     32.75   BAYUDA_VOLC_FIELD             Sudan              Cinder_cones        Radiocarbon
18.17     33.83   JEBEL_UMM_ARAFIEB             Sudan              Shield_volcano      Holocene?
36.53     40.85   SHARAT_KOVAKAB                Syria              Volcanic_field      Holocene
36.67     37.00   UNNAMED                       Syria              Volcanic_field      Historical
33.10     35.97   GOLAN_HEIGHTS                 Syria              Volcanic_field      Holocene
33.00	  36.63   UNNAMED                       Syria              Volcanic_field      Radiocarbon
33.25     37.07   ES_SAFA                       Syria              Volcanic_field      Historical
32.658    36.425  JABAL_AD_DRUZE	 	Syria              Volcanic_field      Holocene
31.08	  38.42   AL_HARRAH			Saudi_Arabia	   Volcanic_field      Holocene
27.80     36.17   HARRAT_AR_RAHAH               Saudi_Arabia	   Volcanic_field      Anthropology
27.08     37.25   HARRAT_'UWAYRID               Saudi_Arabia	   Volcanic_field      Anthropology
25.17     37.75   HARRAT_LUNAYYIR               Saudi_Arabia	   Volcanic_field      Historical
26.58     40.20   HARRAT_ITHNAYN                Saudi_Arabia	   Volcanic_field      Holocene
25.00     39.92   HARRAT_KHAYBAR                Saudi_Arabia	   Volcanic_field      Historical
23.08     39.78   HARRAT_RAHAT                  Saudi_Arabia	   Volcanic_field      Historical
22.80     41.38   HARRAT_KISHB                  Saudi_Arabia	   Volcanic_field      Holocene
18.37     41.63   HARRAT_AL_BIRK                Saudi_Arabia	   Volcanic_field      Holocene
17.05     42.83   JABAL_YAR                     Saudi_Arabia	   Volcanic_field      Historical
15.63     44.08   HARRA_OF_ARHAB                Yemen    	   Volcanic_field      Historical
15.28     44.22   JABAL_EL-MARHA                Yemen              Tuff_cone           Holocene?
15.43     44.78   JABAL_HAYLAN                  Yemen              Volcanic_field      Anthropology
14.57     44.67   HARRAS_OF_DHAMAR              Yemen              Volcanic_field      Historical
12.25     45.00   UNNAMED                       Yemen              Submarine_volcano   Uncertain
13.58     46.12   HARRA_ES-SAWÂD                Yemen              Volcanic_field      Historical
14.05     48.33   HARRA_OF_BAL_HAF              Yemen              Volcanic_field      Holocene
15.55     50.63   BIR_BORHUT                    Yemen              Volcanic_field      Holocene?
39.25     45.17   UNNAMED                       Iran               Volcanic_field      Holocene
37.75     46.43   SAHAND			Iran		   Stratovolcano       Holocene
38.25     47.92   SABALAN			Iran		   Stratovolcano       Holocene
35.951    52.109  DAMAVAND                      Iran               Stratovolcano       Uranium-series
29.40     57.57   QAL'EH_HASAN_ALI              Iran               Maars               Holocene?
28.07     60.00   BAZMAN                        Iran               Stratovolcano       Fumarolic
28.17     60.67   UNNAMED                       Iran               Volcanic_field      Holocene?
28.60     61.60   TAFTAN                        Iran               Stratovolcano       Holocene
33.95     67.92   DACHT-I-NAVAR_GROUP           Afghanistan        Lava_domes          Holocene?
34.25     67.97   VAKAK_GROUP                   Afghanistan        Volcanic_field      Holocene?
-11.47    43.33   LA_GRILLE                     Comoros            Shield_volcano      Holocene
-11.75    43.38   KARTHALA                      Comoros            Shield_volcano      Historical
-11.75    43.38   MAYOTTE_ISLAND                France             Shield_volcano      Tephrochronology
-12.48    49.10   AMBRE-BOBAOMBY                Madagascar         Volcanic_field      Holocene
-13.32    48.48   NOSY-BE                       Madagascar         Cinder_cones        Holocene
-14.30    48.67   ANKAIZINA_FIELD               Madagascar         Cinder_cones        Holocene
-19.00    46.77   ITASY_VOLC_FIELD              Madagascar         Scoria_cones        Radiocarbon
-19.40    47.20   ANKARATRA_FIELD               Madagascar         Cinder_cones        Holocene
-21.229   55.713  PITON_DE_LA_FOURNAISE         France             Shield_volcano      Historical
-37.721   77.721  BOOMERANG_SEAMOUNT            France             Submarine_volcano   Historical
-37.83    77.52   AMSTERDAM_ISLAND              France             Stratovolcano       Holocene
-38.72    77.53   ST._PAUL                      France             Stratovolcano       Historical
-53.106   73.513  HEARD                         Australia          Stratovolcano       Historical
-53.03    72.60   McDONALD_ISLANDS              Australia          Complex_volcano     Historical
-46.42    51.63   ILE_DE_LA_POSSESSION          France             Stratovolcano       Holocene
-46.10    50.23   ILE_AUX_COCHONS               France             Stratovolcano       Holocene
